,Day,Sum,Mean,Standard Deviation,Percentage Observed,Band Standard Deviation,SideBand Standard Deviation
148,149.0,80.70889849394582,49.62468354430379,26.441613196704917,54.861111111111114,11.167669838554545,10.93581741576826
149,150.0,79.14447970568587,48.0545,25.620948211375783,55.55555555555556,10.659575717555603,11.032447487405426
155,156.0,100.0,57.48396449704141,19.009088801513563,58.68055555555556,9.67353365898028,8.815178755544023
156,157.0,51.40666962435628,53.12819148936171,25.158055600997994,32.63888888888889,9.181019545133172,9.726648937612355
157,158.0,61.88739025753516,38.05208860759493,19.30885876095158,54.861111111111114,8.548425573334926,8.98388736008892
158,159.0,76.19361818423249,50.01385135135135,25.75652301330015,51.388888888888886,11.298013066504428,11.214704744145354
163,164.0,80.2264382451911,48.40888198757764,26.109133453290347,55.90277777777778,10.643659887941048,11.561308531642927
164,165.0,55.37474304642714,43.383387096774186,26.04259067086368,43.05555555555556,11.168416448053847,12.324360018467155
165,166.0,75.99124633677106,46.1399375,26.036284525083335,55.55555555555556,11.885364541945046,11.110280474645998
166,167.0,56.89664933570361,35.43198717948718,23.478970826063005,54.166666666666664,11.431229098774887,9.83023025594027
167,168.0,78.94169611489286,48.232830188679245,25.796177136992874,55.208333333333336,10.284340978461048,11.778782860731924
168,169.0,76.99806171826668,52.309090909090905,22.714035644452743,49.65277777777778,10.320218200618768,9.275230382471252
195,196.0,51.86360178655431,32.09197452229299,20.508299747215613,54.513888888888886,10.67759710627066,10.11922512016317
197,198.0,46.19719005763378,28.226163522012584,16.03353089479646,55.208333333333336,7.901288088824751,9.608102244859106
224,225.0,50.46408620258389,31.028354430379743,23.283782258890895,54.861111111111114,11.782605430587187,12.43712758760581
227,228.0,52.04548940327069,32.620064516129034,21.327134178175516,53.81944444444444,10.541717895450647,11.693855591808722
232,233.0,47.736801310167294,34.35207407407408,21.74201571957091,46.875,10.634174125508238,10.118506767506835
250,251.0,48.19198356320621,31.421140939597315,20.995791733353077,51.736111111111114,10.245511153852254,10.325381092904939
260,261.0,56.123086551536375,36.839459459459455,19.2646307258954,51.388888888888886,10.451497253251935,9.334175838819407
261,262.0,62.253533015124376,39.78815789473684,24.7317490501649,52.77777777777778,11.857973029453731,11.901479645364413
265,266.0,75.3152667221834,48.77813333333333,24.256705090528865,52.083333333333336,11.321880629776043,11.099208302188195
